inx,country,countryCoded,degree,degreeCoded,eng,engCoded,fieldGroup,fund,gpaBachelors,gpaMasters,gre,highLevelBachUni,highLevelMasterUni,papersGLOB,papersIRAN,targetUni,uniRank,year
31,united states,0,Doctorate,1,High,1,5,TRUE,3,3,TRUE,TRUE,TRUE,1,0,texas a &amp;amp; m,-1,2008
32,united states,0,Doctorate,1,VeryHigh,0,1,TRUE,3,4,TRUE,TRUE,TRUE,2,5,stanford,-1,2008
33,united states,0,Doctorate,1,VeryHigh,0,1,TRUE,3,3.5,TRUE,FALSE,TRUE,2,0,rensselaer polytechnic institute,-1,2008
34,canada,1,Doctorate,1,VeryHigh,0,12,TRUE,3,3.98,TRUE,TRUE,FALSE,3,0,toronto,-1,2012
35,united states,0,Masters,0,High,1,4,TRUE,2.5,3.442985691,TRUE,TRUE,FALSE,0,0,the air,-1,2007
36,united states,0,Doctorate,1,High,1,1,TRUE,2.5,2.5,TRUE,TRUE,TRUE,4,2,northern illinois,-1,2008
37,united states,0,Masters,0,High,1,0,TRUE,3,3.442985691,TRUE,TRUE,FALSE,1,0,auburn,-1,2007
39,n/a,0,Doctorate,1,High,1,0,TRUE,3.5,3.442985691,TRUE,TRUE,FALSE,1,0,jhu: us,-1,2008
40,canada,1,Doctorate,1,VeryHigh,0,2,TRUE,3.5,3.5,TRUE,FALSE,TRUE,0,2,toronto,-1,2008
41,united states,0,Doctorate,1,VeryHigh,0,0,TRUE,3.5,3.5,TRUE,TRUE,TRUE,3,0,johns hopkins,-1,2008
42,united states,0,Doctorate,1,VeryHigh,0,5,TRUE,2.5,2.5,TRUE,TRUE,TRUE,0,0,auburn,-1,2008
43,united states,0,Doctorate,1,High,1,0,TRUE,2.5,1,TRUE,TRUE,FALSE,0,0,columbia,-1,2007
44,united states,0,Doctorate,1,High,1,0,TRUE,3.74,3.78,TRUE,FALSE,FALSE,6,2,rensselaer polytechnic institute,-1,2007
45,united states,0,Doctorate,1,High,1,1,TRUE,3.5,3.442985691,TRUE,TRUE,FALSE,0,1,kansas state,-1,2008
46,united states,0,Doctorate,1,VeryHigh,0,11,TRUE,4,3.442985691,TRUE,TRUE,FALSE,2,0,michigan - ann arbor,-1,2007
47,canada,1,Doctorate,1,High,1,0,TRUE,3.5,3.5,TRUE,TRUE,TRUE,2,0,british columbia,-1,2008
48,canada,1,Masters,0,High,1,5,TRUE,3,3.442985691,TRUE,FALSE,FALSE,0,0,mcgill,-1,2008
49,canada,1,Masters,0,High,1,0,TRUE,3.5,3.442985691,FALSE,FALSE,FALSE,0,0,saskatchewan,-1,2008
50,united states,0,Doctorate,1,High,1,11,TRUE,3,4,TRUE,TRUE,TRUE,2,0,louisiana tech,-1,2008
53,canada,1,Masters,0,VeryHigh,0,5,TRUE,3,3.442985691,FALSE,TRUE,FALSE,0,1,ubc (okanagan campus)i,-1,2008
