,country,countryCode,degree,degreeCode,eng,fieldGroup,fund,gpaB,gpaM,gre,highBU,highMU,paper,targetUni,uniRank,year,rejUni
2,united kingdom,4,Doctorate,1,8.0,7,TRUE,3.5,3.442985691,FALSE,FALSE,FALSE,7.0,heriot-watt,692.0,2007,n/a
3,united states,0,Doctorate,1,8.0,5,TRUE,2.5,3.5,TRUE,TRUE,FALSE,11.0,northwestern,20.0,2010,"UC Berkeley, Georgia Tech"
5,united states,0,Doctorate,1,8.0,10,TRUE,3.5,4.0,TRUE,TRUE,TRUE,5.0,cornell,11.0,2008,"Virginia Tech, INSEAD, MIT Sloan,Cornegie Mellon , Michigan-Ann Arbor, University of Washington, GATech, Purdue (IE), UBC"
6,sweden,2,Masters,0,7.0,0,FALSE,3.0,3.442985691,TRUE,TRUE,FALSE,0.0,chalmers,443.0,2008,"UC Berkeley, UC Davis, Carneigie Mellon"
7,spain,3,Masters,0,8.0,10,TRUE,2.5,3.442985691,FALSE,FALSE,FALSE,0.0,carlos iii de madrid,,2008,Chalmers
8,australia,1,Masters,0,6.5,10,FALSE,3.0,2.5,FALSE,TRUE,TRUE,0.0,adelaide,318.0,2009,n/a
9,united states,0,Masters,0,8.0,0,TRUE,3.5,3.5,FALSE,TRUE,FALSE,1.0,"new york , abu dhabi",21.0,2008,Columbia
10,canada,0,Doctorate,1,7.5,11,TRUE,3.0,4.0,TRUE,TRUE,TRUE,11.0,mcmaster,134.0,2008,"EPFL,Maryland,Mcgill,Waterloo,New Mexico"
12,united states,0,Masters,0,7.5,0,TRUE,3.5,3.0,TRUE,FALSE,FALSE,1.0,tallinn,,2007,"OSU,Case Western,Oregon"
13,canada,0,Doctorate,1,8.0,0,TRUE,2.5,3.0,TRUE,TRUE,TRUE,0.0,calgary,172.0,2008,"UCSB, Texas A&amp;amp;M, Alberta, Waterloo"
15,united states,0,Doctorate,1,8.0,10,TRUE,3.5,3.5,TRUE,TRUE,TRUE,2.0,northwestern,20.0,2008,n/a
16,canada,0,Doctorate,1,7.5,0,TRUE,2.0,4.0,FALSE,TRUE,TRUE,12.0,mcmaster,134.0,2008,"Queen&amp;#039;s, London Buiness School, U of Calgary, U of California-Irvine, Minnesota, Boston, MIT, Michigan, Purdue, York, UWO"
17,canada,0,Doctorate,1,7.0,7,TRUE,3.5,3.5,FALSE,FALSE,TRUE,4.0,queens,,2008,n/a
18,canada,0,Masters,0,7.5,2,TRUE,2.0,3.442985691,FALSE,TRUE,FALSE,5.0,western ontario,,2008,minnesota
19,united states,0,Doctorate,1,7.5,11,TRUE,2.5,3.5,TRUE,TRUE,TRUE,4.0,miami,147.0,2008,UIC
20,united states,0,Doctorate,1,8.5,1,TRUE,3.0,4.0,TRUE,TRUE,TRUE,4.0,johns hopkins,15.0,2008,Northwestern - SFU - Iowa State - UIC - Maryland - UPenn - Rice - Delaware
21,united states,0,Doctorate,1,7.5,13,TRUE,2.5,3.0,TRUE,FALSE,TRUE,4.0,wayne state,189.0,2007,n/a
22,n/a,0,Doctorate,1,7.5,4,FALSE,2.0,3.5,TRUE,TRUE,TRUE,12.0,nigerian turkish nile,,2008,"Carnegie Mellon, UPenn,Davis"
23,united states,0,Masters,0,6.5,7,FALSE,2.5,3.442985691,TRUE,FALSE,FALSE,3.0,louisville,283.0,2008,"University of alaska fairbanks, NTU"
24,canada,0,Masters,0,6.5,13,TRUE,3.0,3.442985691,TRUE,TRUE,FALSE,0.0,windsor,561.0,2008,n/a
25,united states,0,Doctorate,1,7.0,1,TRUE,2.5,2.5,FALSE,TRUE,TRUE,1.0,washington state,26.0,2008,n/a
26,united states,0,Doctorate,1,6.5,4,TRUE,2.5,2.5,TRUE,TRUE,TRUE,4.0,florida,58.0,2007,"Minnesota,Boston college"
27,united states,0,Doctorate,1,8.0,2,TRUE,2.5,4.0,TRUE,TRUE,TRUE,2.0,boston,61.0,2008,n/a
